id,bookName,bookingSystem,region,cutTime,status,bookType,internalRiskControlFramework,fxTreatment,riskRelevant,pnlRelevant,description,bookOwnerId,costCenter,costCenterType,subDeskId,subdesk,subDeskType,deskId,deskCode,desk,deskRegion,deskCity,functionId,function,functionCat,segmentId,segment,areaId,area,groupId,group
181,JQEA,MySys,EMEA,NewYork,Open,NonProd,MarketRisk,NA,NotValid,Valid,for quantititve quantititve for market price ,600435,37,costCentre_Y,19,STCXTE,RiskManagement,10,KGSLGD,AUS EXOTIC CREDIT TRADING,US,Krakow,2,EMEA Macro Flow,Cat3,1,FxCash,1,FX,1,IB
182,KTQR,MX,US,HongKong,Open,Prod,MarketRisk,MonthlySellDown,NotValid,NotValid,a price value for a price value for ,443171,37,costCentre_Y,19,STCXTE,RiskManagement,10,KGSLGD,AUS EXOTIC CREDIT TRADING,US,Krakow,2,EMEA Macro Flow,Cat3,1,FxCash,1,FX,1,IB
183,XJUQ,MySys,US,Tokyo,Open,NonProd,NA,NA,Valid,Valid,,408123,37,costCentre_Y,19,STCXTE,RiskManagement,10,KGSLGD,AUS EXOTIC CREDIT TRADING,US,Krakow,2,EMEA Macro Flow,Cat3,1,FxCash,1,FX,1,IB
184,WUFK,MX,US,London,Open,Prod,MarketRisk,NA,Valid,Valid,market exotic market internal capital industry market value the internal of a for ,647290,37,costCentre_Y,19,STCXTE,RiskManagement,10,KGSLGD,AUS EXOTIC CREDIT TRADING,US,Krakow,2,EMEA Macro Flow,Cat3,1,FxCash,1,FX,1,IB
185,LOCX,ION,US,NewYork,Open,Prod,MarketRisk,DailySellDown,Valid,Valid,book exotic price internal a value quantititve the market book industry outside of ,885059,38,costCentre_G,19,STCXTE,RiskManagement,10,KGSLGD,AUS EXOTIC CREDIT TRADING,US,Krakow,2,EMEA Macro Flow,Cat3,1,FxCash,1,FX,1,IB
186,AAUB,SwapsWire,APAC,London,Open,Prod,NA,Other,Valid,Valid,making internal for relative a price the the internal internal quantititve industry ,550229,38,costCentre_G,19,STCXTE,RiskManagement,10,KGSLGD,AUS EXOTIC CREDIT TRADING,US,Krakow,2,EMEA Macro Flow,Cat3,1,FxCash,1,FX,1,IB
187,SZBS,MX,APAC,HongKong,Open,Test,CreditRisk,DailySellDown,Valid,Valid,market of the exotic industry making internal market ,973364,38,costCentre_G,19,STCXTE,RiskManagement,10,KGSLGD,AUS EXOTIC CREDIT TRADING,US,Krakow,2,EMEA Macro Flow,Cat3,1,FxCash,1,FX,1,IB
188,GOXF,BBG,EMEA,London,Open,Prod,CreditRisk,Other,Valid,Valid,,711461,38,costCentre_G,19,STCXTE,RiskManagement,10,KGSLGD,AUS EXOTIC CREDIT TRADING,US,Krakow,2,EMEA Macro Flow,Cat3,1,FxCash,1,FX,1,IB
189,ONEW,BBG,US,London,Open,NonProd,CreditRisk,MonthlySellDown,Valid,Valid,outside making for relative market relative price market book ,552511,38,costCentre_G,19,STCXTE,RiskManagement,10,KGSLGD,AUS EXOTIC CREDIT TRADING,US,Krakow,2,EMEA Macro Flow,Cat3,1,FxCash,1,FX,1,IB
190,SHFS,MX,APAC,Tokyo,Closed,Prod,CreditRisk,MonthlySellDown,NotValid,Valid,industry market relative market exotic industry value ,649526,39,costCentre_B,20,XBAMCJ,Hedging,10,KGSLGD,AUS EXOTIC CREDIT TRADING,US,Krakow,2,EMEA Macro Flow,Cat3,1,FxCash,1,FX,1,IB
191,ELSZ,LoanIQ,US,HongKong,Open,Test,MarketRisk,NA,Valid,Valid,of price mammoth relative for relative the making trading the for the for a relative the ,856361,39,costCentre_B,20,XBAMCJ,Hedging,10,KGSLGD,AUS EXOTIC CREDIT TRADING,US,Krakow,2,EMEA Macro Flow,Cat3,1,FxCash,1,FX,1,IB
192,NDXU,Anvil,APAC,Tokyo,Open,Prod,MarketRisk,MonthlySellDown,Valid,NotValid,making mammoth exotic trading market internal mammoth of industry making price relative ,627832,39,costCentre_B,20,XBAMCJ,Hedging,10,KGSLGD,AUS EXOTIC CREDIT TRADING,US,Krakow,2,EMEA Macro Flow,Cat3,1,FxCash,1,FX,1,IB
193,URYK,MySys,US,London,Open,NonProd,MarketRisk,DailySellDown,Valid,Valid,value internal book industry market mammoth the trading price of making of quantititve making making the industry ,225026,39,costCentre_B,20,XBAMCJ,Hedging,10,KGSLGD,AUS EXOTIC CREDIT TRADING,US,Krakow,2,EMEA Macro Flow,Cat3,1,FxCash,1,FX,1,IB
194,RCNC,LoanIQ,US,HongKong,Open,Prod,MarketRisk,,Valid,Valid,industry quantititve price trading value market ,711331,39,costCentre_B,20,XBAMCJ,Hedging,10,KGSLGD,AUS EXOTIC CREDIT TRADING,US,Krakow,2,EMEA Macro Flow,Cat3,1,FxCash,1,FX,1,IB
195,BYLA,Aladdin,EMEA,Tokyo,Closed,Prod,CreditRisk,DailySellDown,Valid,Valid,,623631,40,costCentre_B,20,XBAMCJ,Hedging,10,KGSLGD,AUS EXOTIC CREDIT TRADING,US,Krakow,2,EMEA Macro Flow,Cat3,1,FxCash,1,FX,1,IB
196,EWUV,SwapsWire,EMEA,Tokyo,Open,Prod,MarketRisk,DailySellDown,Valid,Valid,quantititve capital outside the a trading book trading the a industry mammoth capital quantititve ,252934,40,costCentre_B,20,XBAMCJ,Hedging,10,KGSLGD,AUS EXOTIC CREDIT TRADING,US,Krakow,2,EMEA Macro Flow,Cat3,1,FxCash,1,FX,1,IB
197,UMOE,Calypso,EMEA,NewYork,Closed,Prod,MarketRisk,,Valid,Valid,making making making relative quantititve ,480669,40,costCentre_B,20,XBAMCJ,Hedging,10,KGSLGD,AUS EXOTIC CREDIT TRADING,US,Krakow,2,EMEA Macro Flow,Cat3,1,FxCash,1,FX,1,IB
198,NYYH,ION,US,Tokyo,Open,Prod,MarketRisk,Other,Valid,Valid,quantititve quantititve price for quantititve market for the making outside ,887291,40,costCentre_B,20,XBAMCJ,Hedging,10,KGSLGD,AUS EXOTIC CREDIT TRADING,US,Krakow,2,EMEA Macro Flow,Cat3,1,FxCash,1,FX,1,IB
199,QUGI,MX,EMEA,London,Open,Prod,MarketRisk,Other,Valid,Valid,capital of industry relative a ,881501,40,costCentre_B,20,XBAMCJ,Hedging,10,KGSLGD,AUS EXOTIC CREDIT TRADING,US,Krakow,2,EMEA Macro Flow,Cat3,1,FxCash,1,FX,1,IB
200,OHLS,MX,US,HongKong,Open,Prod,MarketRisk,,Valid,Valid,price industry industry relative quantititve internal for outside mammoth internal internal for exotic ,183682,41,costCentre_A,21,NDYFTF,Strategic,11,DQROKP,JAPAN STRUCTURED FX MANAGEMENT,UK,Krakow,3,EMEA Macro Vol,Cat3,2,FxDerivs,1,FX,1,IB
201,EDXK,MX,US,NewYork,Open,Test,MarketRisk,NA,Valid,Valid,market of the book for ,684399,41,costCentre_A,21,NDYFTF,Strategic,11,DQROKP,JAPAN STRUCTURED FX MANAGEMENT,UK,Krakow,3,EMEA Macro Vol,Cat3,2,FxDerivs,1,FX,1,IB
202,QAFR,SwapsWire,APAC,London,Open,Prod,MarketRisk,,Valid,NotValid,market book a market price industry ,612455,41,costCentre_A,21,NDYFTF,Strategic,11,DQROKP,JAPAN STRUCTURED FX MANAGEMENT,UK,Krakow,3,EMEA Macro Vol,Cat3,2,FxDerivs,1,FX,1,IB
203,MQYD,SwapsWire,EMEA,Tokyo,Open,Prod,CreditRisk,DailySellDown,Valid,Valid,a trading book a outside quantititve quantititve trading industry mammoth a ,441824,41,costCentre_A,21,NDYFTF,Strategic,11,DQROKP,JAPAN STRUCTURED FX MANAGEMENT,UK,Krakow,3,EMEA Macro Vol,Cat3,2,FxDerivs,1,FX,1,IB
204,BLTZ,MX,APAC,London,Open,Prod,MarketRisk,MonthlySellDown,Valid,Valid,outside mammoth of making a price the value capital internal relative a exotic ,377286,41,costCentre_A,21,NDYFTF,Strategic,11,DQROKP,JAPAN STRUCTURED FX MANAGEMENT,UK,Krakow,3,EMEA Macro Vol,Cat3,2,FxDerivs,1,FX,1,IB
205,AWSG,MX,APAC,NewYork,Closed,Prod,MarketRisk,Other,Valid,NotValid,book exotic trading making for for price value exotic of capital market value of ,149948,42,costCentre_Y,21,NDYFTF,Strategic,11,DQROKP,JAPAN STRUCTURED FX MANAGEMENT,UK,Krakow,3,EMEA Macro Vol,Cat3,2,FxDerivs,1,FX,1,IB
206,AXVJ,Anvil,US,HongKong,Open,Prod,CreditRisk,NA,Valid,Valid,outside market trading market relative exotic internal relative the ,521813,42,costCentre_Y,21,NDYFTF,Strategic,11,DQROKP,JAPAN STRUCTURED FX MANAGEMENT,UK,Krakow,3,EMEA Macro Vol,Cat3,2,FxDerivs,1,FX,1,IB
207,MGVB,ION,EMEA,NewYork,Open,Test,CreditRisk,Other,Valid,Valid,value industry price outside the price book trading the the making price quantititve book of trading making capital value ,130518,42,costCentre_Y,21,NDYFTF,Strategic,11,DQROKP,JAPAN STRUCTURED FX MANAGEMENT,UK,Krakow,3,EMEA Macro Vol,Cat3,2,FxDerivs,1,FX,1,IB
208,XZGU,Calypso,EMEA,HongKong,Open,Prod,NA,,Valid,NotValid,quantititve trading trading trading relative ,262490,42,costCentre_Y,21,NDYFTF,Strategic,11,DQROKP,JAPAN STRUCTURED FX MANAGEMENT,UK,Krakow,3,EMEA Macro Vol,Cat3,2,FxDerivs,1,FX,1,IB
209,NGSK,MySys,APAC,NewYork,Open,Prod,CreditRisk,NA,Valid,Valid,mammoth value for market making making capital ,423240,42,costCentre_Y,21,NDYFTF,Strategic,11,DQROKP,JAPAN STRUCTURED FX MANAGEMENT,UK,Krakow,3,EMEA Macro Vol,Cat3,2,FxDerivs,1,FX,1,IB
210,UKFD,Aladdin,US,HongKong,Open,Prod,MarketRisk,NA,Valid,Valid,exotic outside outside market mammoth ,447848,43,costCentre_C,22,JXHIBH,Strategic,11,DQROKP,JAPAN STRUCTURED FX MANAGEMENT,UK,Krakow,3,EMEA Macro Vol,Cat3,2,FxDerivs,1,FX,1,IB
211,NMDO,Calypso,EMEA,HongKong,Open,Prod,CreditRisk,Other,Valid,Valid,book internal book outside relative a market exotic relative market outside market capital value book mammoth mammoth ,409614,43,costCentre_C,22,JXHIBH,Strategic,11,DQROKP,JAPAN STRUCTURED FX MANAGEMENT,UK,Krakow,3,EMEA Macro Vol,Cat3,2,FxDerivs,1,FX,1,IB
212,BOUF,MX,US,Tokyo,Open,Test,CreditRisk,DailySellDown,Valid,Valid,making value capital book trading quantititve relative internal mammoth industry making for the price industry outside ,993823,43,costCentre_C,22,JXHIBH,Strategic,11,DQROKP,JAPAN STRUCTURED FX MANAGEMENT,UK,Krakow,3,EMEA Macro Vol,Cat3,2,FxDerivs,1,FX,1,IB
213,SSAU,Aladdin,EMEA,HongKong,Open,Test,MarketRisk,Other,Valid,Valid,internal quantititve relative a making a quantititve capital relative ,236719,43,costCentre_C,22,JXHIBH,Strategic,11,DQROKP,JAPAN STRUCTURED FX MANAGEMENT,UK,Krakow,3,EMEA Macro Vol,Cat3,2,FxDerivs,1,FX,1,IB
214,JIUR,MX,US,HongKong,Open,Prod,MarketRisk,NA,NotValid,Valid,internal value internal making book the for a trading exotic quantititve market market outside book making ,226707,43,costCentre_C,22,JXHIBH,Strategic,11,DQROKP,JAPAN STRUCTURED FX MANAGEMENT,UK,Krakow,3,EMEA Macro Vol,Cat3,2,FxDerivs,1,FX,1,IB
215,ZSWA,LoanIQ,US,NewYork,Open,Prod,NA,NA,Valid,Valid,price mammoth exotic the of internal industry value trading of mammoth a ,125753,44,costCentre_B,22,JXHIBH,Strategic,11,DQROKP,JAPAN STRUCTURED FX MANAGEMENT,UK,Krakow,3,EMEA Macro Vol,Cat3,2,FxDerivs,1,FX,1,IB
216,XHJL,Calypso,APAC,London,Open,Test,MarketRisk,DailySellDown,Valid,Valid,exotic capital mammoth price mammoth price for a ,763485,44,costCentre_B,22,JXHIBH,Strategic,11,DQROKP,JAPAN STRUCTURED FX MANAGEMENT,UK,Krakow,3,EMEA Macro Vol,Cat3,2,FxDerivs,1,FX,1,IB
217,OOMN,Calypso,EMEA,Tokyo,Open,Prod,MarketRisk,NA,Valid,Valid,market a exotic value internal mammoth of ,315389,44,costCentre_B,22,JXHIBH,Strategic,11,DQROKP,JAPAN STRUCTURED FX MANAGEMENT,UK,Krakow,3,EMEA Macro Vol,Cat3,2,FxDerivs,1,FX,1,IB
218,YJEX,SwapsWire,APAC,NewYork,Open,NonProd,MarketRisk,Other,Valid,Valid,relative relative value relative market price market ,622369,44,costCentre_B,22,JXHIBH,Strategic,11,DQROKP,JAPAN STRUCTURED FX MANAGEMENT,UK,Krakow,3,EMEA Macro Vol,Cat3,2,FxDerivs,1,FX,1,IB
219,VCPS,Calypso,EMEA,London,Open,Prod,NA,NA,Valid,NotValid,mammoth mammoth industry relative making outside market outside relative trading internal relative mammoth ,540879,44,costCentre_B,22,JXHIBH,Strategic,11,DQROKP,JAPAN STRUCTURED FX MANAGEMENT,UK,Krakow,3,EMEA Macro Vol,Cat3,2,FxDerivs,1,FX,1,IB
220,MTSI,Calypso,APAC,Tokyo,Closed,Prod,MarketRisk,NA,Valid,Valid,quantititve of market value trading making capital market for book market book relative ,630182,45,costCentre_G,23,QBZFON,MarketMaking,12,UPGHDV,LATAM FLOW ALGO HEDGING,HK,Hong Kong,3,EMEA Macro Vol,Cat3,2,FxDerivs,1,FX,1,IB
221,WECL,MX,EMEA,Tokyo,Open,Prod,NA,MonthlySellDown,Valid,Valid,capital a of outside for a a price ,389052,45,costCentre_G,23,QBZFON,MarketMaking,12,UPGHDV,LATAM FLOW ALGO HEDGING,HK,Hong Kong,3,EMEA Macro Vol,Cat3,2,FxDerivs,1,FX,1,IB
222,BEYT,MX,APAC,London,Open,Prod,MarketRisk,DailySellDown,Valid,Valid,book industry outside capital relative price industry for capital capital the industry trading ,116169,45,costCentre_G,23,QBZFON,MarketMaking,12,UPGHDV,LATAM FLOW ALGO HEDGING,HK,Hong Kong,3,EMEA Macro Vol,Cat3,2,FxDerivs,1,FX,1,IB
223,EJSK,ION,APAC,Tokyo,Open,Prod,CreditRisk,Other,Valid,NotValid,a quantititve price value industry the price industry ,918499,45,costCentre_G,23,QBZFON,MarketMaking,12,UPGHDV,LATAM FLOW ALGO HEDGING,HK,Hong Kong,3,EMEA Macro Vol,Cat3,2,FxDerivs,1,FX,1,IB
224,ROJP,Calypso,APAC,NewYork,Open,Prod,MarketRisk,MonthlySellDown,Valid,Valid,price the internal a quantititve outside for trading relative quantititve relative book relative relative quantititve outside price internal ,657362,45,costCentre_G,23,QBZFON,MarketMaking,12,UPGHDV,LATAM FLOW ALGO HEDGING,HK,Hong Kong,3,EMEA Macro Vol,Cat3,2,FxDerivs,1,FX,1,IB
225,OLQJ,ION,US,Tokyo,Open,Prod,CreditRisk,Other,Valid,Valid,industry of capital value market value industry mammoth capital capital making book relative quantititve quantititve industry capital exotic ,471067,46,costCentre_G,23,QBZFON,MarketMaking,12,UPGHDV,LATAM FLOW ALGO HEDGING,HK,Hong Kong,3,EMEA Macro Vol,Cat3,2,FxDerivs,1,FX,1,IB
226,XKWO,MX,EMEA,Tokyo,Open,Test,MarketRisk,Other,Valid,Valid,internal market market outside book price industry capital ,551995,46,costCentre_G,23,QBZFON,MarketMaking,12,UPGHDV,LATAM FLOW ALGO HEDGING,HK,Hong Kong,3,EMEA Macro Vol,Cat3,2,FxDerivs,1,FX,1,IB
227,IDBN,MX,APAC,London,Open,Prod,CreditRisk,Other,Valid,Valid,internal a industry making mammoth for market making book relative outside making a price capital relative quantititve for trading a ,146651,46,costCentre_G,23,QBZFON,MarketMaking,12,UPGHDV,LATAM FLOW ALGO HEDGING,HK,Hong Kong,3,EMEA Macro Vol,Cat3,2,FxDerivs,1,FX,1,IB
228,URDC,Calypso,US,Tokyo,Closed,Prod,MarketRisk,MonthlySellDown,Valid,Valid,making value making internal exotic mammoth for a for quantititve relative internal outside quantititve exotic relative the exotic ,679647,46,costCentre_G,23,QBZFON,MarketMaking,12,UPGHDV,LATAM FLOW ALGO HEDGING,HK,Hong Kong,3,EMEA Macro Vol,Cat3,2,FxDerivs,1,FX,1,IB
229,ULYS,BBG,US,Tokyo,Open,Test,MarketRisk,NA,Valid,Valid,book internal making for industry exotic quantititve trading book industry for ,571798,46,costCentre_G,23,QBZFON,MarketMaking,12,UPGHDV,LATAM FLOW ALGO HEDGING,HK,Hong Kong,3,EMEA Macro Vol,Cat3,2,FxDerivs,1,FX,1,IB
230,LIEO,Calypso,US,Tokyo,Closed,Prod,MarketRisk,NA,Valid,Valid,outside a making industry mammoth internal for a capital market relative internal capital quantititve value the ,975863,47,costCentre_A,24,IWCPHG,Hedging,12,UPGHDV,LATAM FLOW ALGO HEDGING,HK,Hong Kong,3,EMEA Macro Vol,Cat3,2,FxDerivs,1,FX,1,IB
231,OHSH,Aladdin,APAC,Tokyo,Open,Prod,CreditRisk,Other,Valid,Valid,exotic exotic a quantititve making internal price quantititve the capital trading trading of market making capital price value trading making ,211209,47,costCentre_A,24,IWCPHG,Hedging,12,UPGHDV,LATAM FLOW ALGO HEDGING,HK,Hong Kong,3,EMEA Macro Vol,Cat3,2,FxDerivs,1,FX,1,IB
232,SWAC,Aladdin,US,HongKong,Open,Prod,MarketRisk,,Valid,Valid,,269178,47,costCentre_A,24,IWCPHG,Hedging,12,UPGHDV,LATAM FLOW ALGO HEDGING,HK,Hong Kong,3,EMEA Macro Vol,Cat3,2,FxDerivs,1,FX,1,IB
233,TTAA,MX,EMEA,HongKong,Open,Prod,CreditRisk,Other,Valid,Valid,industry for outside mammoth of outside a ,621543,47,costCentre_A,24,IWCPHG,Hedging,12,UPGHDV,LATAM FLOW ALGO HEDGING,HK,Hong Kong,3,EMEA Macro Vol,Cat3,2,FxDerivs,1,FX,1,IB
234,BJHC,SwapsWire,US,HongKong,Open,Test,MarketRisk,MonthlySellDown,Valid,NotValid,internal the value price relative making relative mammoth price exotic internal making of a a ,557012,47,costCentre_A,24,IWCPHG,Hedging,12,UPGHDV,LATAM FLOW ALGO HEDGING,HK,Hong Kong,3,EMEA Macro Vol,Cat3,2,FxDerivs,1,FX,1,IB
235,OAXD,LoanIQ,EMEA,Tokyo,Open,Prod,MarketRisk,MonthlySellDown,Valid,Valid,internal mammoth a the for mammoth relative of value trading ,326350,48,costCentre_G,24,IWCPHG,Hedging,12,UPGHDV,LATAM FLOW ALGO HEDGING,HK,Hong Kong,3,EMEA Macro Vol,Cat3,2,FxDerivs,1,FX,1,IB
236,UWSF,MX,APAC,Tokyo,Open,Prod,MarketRisk,NA,Valid,Valid,internal capital a for internal relative relative value trading relative price capital book internal mammoth capital quantititve ,973981,48,costCentre_G,24,IWCPHG,Hedging,12,UPGHDV,LATAM FLOW ALGO HEDGING,HK,Hong Kong,3,EMEA Macro Vol,Cat3,2,FxDerivs,1,FX,1,IB
237,KPSX,MX,APAC,NewYork,Open,Prod,MarketRisk,MonthlySellDown,NotValid,Valid,mammoth quantititve exotic capital price price mammoth relative price value exotic of of ,245998,48,costCentre_G,24,IWCPHG,Hedging,12,UPGHDV,LATAM FLOW ALGO HEDGING,HK,Hong Kong,3,EMEA Macro Vol,Cat3,2,FxDerivs,1,FX,1,IB
238,WDNY,MX,US,London,Open,Test,MarketRisk,MonthlySellDown,Valid,Valid,quantititve internal book of the industry for quantititve book market of market a a exotic value making market the ,396482,48,costCentre_G,24,IWCPHG,Hedging,12,UPGHDV,LATAM FLOW ALGO HEDGING,HK,Hong Kong,3,EMEA Macro Vol,Cat3,2,FxDerivs,1,FX,1,IB
239,QJQZ,MX,EMEA,HongKong,Open,Prod,NA,,NotValid,Valid,price exotic outside book quantititve internal internal value ,952294,48,costCentre_G,24,IWCPHG,Hedging,12,UPGHDV,LATAM FLOW ALGO HEDGING,HK,Hong Kong,3,EMEA Macro Vol,Cat3,2,FxDerivs,1,FX,1,IB
240,GPFL,MX,EMEA,London,Open,Prod,NA,NA,NotValid,Valid,price exotic mammoth industry value internal value price trading the price capital trading ,154220,49,costCentre_B,25,FCWXRF,Hedging,13,DMEWLI,UK FLOW ALGO STRATEGIC,HK,Hong Kong,3,EMEA Macro Vol,Cat3,2,FxDerivs,1,FX,1,IB
241,OQKE,MX,EMEA,London,Open,Prod,NA,DailySellDown,Valid,Valid,,410172,49,costCentre_B,25,FCWXRF,Hedging,13,DMEWLI,UK FLOW ALGO STRATEGIC,HK,Hong Kong,3,EMEA Macro Vol,Cat3,2,FxDerivs,1,FX,1,IB
242,QZII,MySys,US,HongKong,Open,Prod,MarketRisk,DailySellDown,Valid,Valid,relative value price price outside outside exotic exotic book quantititve outside mammoth price the market of ,788347,49,costCentre_B,25,FCWXRF,Hedging,13,DMEWLI,UK FLOW ALGO STRATEGIC,HK,Hong Kong,3,EMEA Macro Vol,Cat3,2,FxDerivs,1,FX,1,IB
243,EIUT,Aladdin,APAC,HongKong,Open,Prod,NA,DailySellDown,Valid,Valid,,470471,49,costCentre_B,25,FCWXRF,Hedging,13,DMEWLI,UK FLOW ALGO STRATEGIC,HK,Hong Kong,3,EMEA Macro Vol,Cat3,2,FxDerivs,1,FX,1,IB
244,IJAP,SwapsWire,US,NewYork,Open,Prod,MarketRisk,NA,Valid,Valid,making for market making outside industry making quantititve quantititve outside capital market of quantititve the ,259236,49,costCentre_B,25,FCWXRF,Hedging,13,DMEWLI,UK FLOW ALGO STRATEGIC,HK,Hong Kong,3,EMEA Macro Vol,Cat3,2,FxDerivs,1,FX,1,IB
245,DTMY,MX,APAC,London,Open,Prod,MarketRisk,NA,Valid,Valid,for quantititve capital industry book making of outside quantititve industry outside outside of outside internal internal ,958434,50,costCentre_B,25,FCWXRF,Hedging,13,DMEWLI,UK FLOW ALGO STRATEGIC,HK,Hong Kong,3,EMEA Macro Vol,Cat3,2,FxDerivs,1,FX,1,IB
246,HRSU,MX,US,NewYork,Open,Test,MarketRisk,Other,Valid,Valid,quantititve market book industry price quantititve trading industry making the relative trading price of mammoth mammoth ,794299,50,costCentre_B,25,FCWXRF,Hedging,13,DMEWLI,UK FLOW ALGO STRATEGIC,HK,Hong Kong,3,EMEA Macro Vol,Cat3,2,FxDerivs,1,FX,1,IB
247,BEJK,Anvil,US,NewYork,Open,Prod,MarketRisk,DailySellDown,Valid,Valid,capital trading market trading making trading capital exotic price quantititve ,475293,50,costCentre_B,25,FCWXRF,Hedging,13,DMEWLI,UK FLOW ALGO STRATEGIC,HK,Hong Kong,3,EMEA Macro Vol,Cat3,2,FxDerivs,1,FX,1,IB
248,FQDJ,Calypso,APAC,Tokyo,Open,Prod,CreditRisk,,Valid,Valid,exotic trading exotic internal quantititve making ,622647,50,costCentre_B,25,FCWXRF,Hedging,13,DMEWLI,UK FLOW ALGO STRATEGIC,HK,Hong Kong,3,EMEA Macro Vol,Cat3,2,FxDerivs,1,FX,1,IB
249,WGOC,LoanIQ,APAC,Tokyo,Open,Prod,CreditRisk,,Valid,Valid,relative book trading internal mammoth making of internal the industry industry for exotic of making industry value price making ,380405,50,costCentre_B,25,FCWXRF,Hedging,13,DMEWLI,UK FLOW ALGO STRATEGIC,HK,Hong Kong,3,EMEA Macro Vol,Cat3,2,FxDerivs,1,FX,1,IB
250,JUGN,Calypso,APAC,NewYork,Open,Prod,MarketRisk,Other,Valid,NotValid,for outside of making for of book ,377420,51,costCentre_A,26,ECLGEU,RiskManagement,13,DMEWLI,UK FLOW ALGO STRATEGIC,HK,Hong Kong,3,EMEA Macro Vol,Cat3,2,FxDerivs,1,FX,1,IB
251,PBRI,ION,EMEA,London,Open,Prod,MarketRisk,,Valid,Valid,of a trading the internal for the trading outside outside capital ,638584,51,costCentre_A,26,ECLGEU,RiskManagement,13,DMEWLI,UK FLOW ALGO STRATEGIC,HK,Hong Kong,3,EMEA Macro Vol,Cat3,2,FxDerivs,1,FX,1,IB
252,WJCG,SwapsWire,EMEA,NewYork,Open,Prod,CreditRisk,,Valid,NotValid,,692797,51,costCentre_A,26,ECLGEU,RiskManagement,13,DMEWLI,UK FLOW ALGO STRATEGIC,HK,Hong Kong,3,EMEA Macro Vol,Cat3,2,FxDerivs,1,FX,1,IB
253,XNGO,MX,EMEA,NewYork,Open,Prod,MarketRisk,,NotValid,Valid,relative mammoth internal internal exotic trading making relative mammoth mammoth ,297429,51,costCentre_A,26,ECLGEU,RiskManagement,13,DMEWLI,UK FLOW ALGO STRATEGIC,HK,Hong Kong,3,EMEA Macro Vol,Cat3,2,FxDerivs,1,FX,1,IB
254,WGFW,MX,US,London,Open,Prod,MarketRisk,MonthlySellDown,Valid,NotValid,trading trading of relative market the value making of value ,148647,51,costCentre_A,26,ECLGEU,RiskManagement,13,DMEWLI,UK FLOW ALGO STRATEGIC,HK,Hong Kong,3,EMEA Macro Vol,Cat3,2,FxDerivs,1,FX,1,IB
255,JXKY,MX,APAC,NewYork,Open,Prod,MarketRisk,DailySellDown,Valid,Valid,mammoth of making for ,700229,52,costCentre_A,26,ECLGEU,RiskManagement,13,DMEWLI,UK FLOW ALGO STRATEGIC,HK,Hong Kong,3,EMEA Macro Vol,Cat3,2,FxDerivs,1,FX,1,IB
256,DZST,MX,US,NewYork,Open,Prod,MarketRisk,DailySellDown,Valid,Valid,of value for market internal relative making book value quantititve outside of price trading book ,906576,52,costCentre_A,26,ECLGEU,RiskManagement,13,DMEWLI,UK FLOW ALGO STRATEGIC,HK,Hong Kong,3,EMEA Macro Vol,Cat3,2,FxDerivs,1,FX,1,IB
257,FTMA,LoanIQ,APAC,London,Closed,Prod,NA,NA,Valid,Valid,market quantititve the the market market a industry internal exotic outside price market mammoth a the a industry ,986226,52,costCentre_A,26,ECLGEU,RiskManagement,13,DMEWLI,UK FLOW ALGO STRATEGIC,HK,Hong Kong,3,EMEA Macro Vol,Cat3,2,FxDerivs,1,FX,1,IB
258,WLCR,ION,US,London,Closed,Test,MarketRisk,DailySellDown,NotValid,Valid,relative for market making internal quantititve ,429044,52,costCentre_A,26,ECLGEU,RiskManagement,13,DMEWLI,UK FLOW ALGO STRATEGIC,HK,Hong Kong,3,EMEA Macro Vol,Cat3,2,FxDerivs,1,FX,1,IB
259,KDEH,MX,US,London,Open,Prod,MarketRisk,DailySellDown,NotValid,Valid,outside relative market for trading outside of exotic outside trading price exotic industry a mammoth industry mammoth the internal making ,550604,52,costCentre_A,26,ECLGEU,RiskManagement,13,DMEWLI,UK FLOW ALGO STRATEGIC,HK,Hong Kong,3,EMEA Macro Vol,Cat3,2,FxDerivs,1,FX,1,IB
260,FSHL,MX,US,NewYork,Open,Prod,MarketRisk,MonthlySellDown,Valid,Valid,trading price trading capital of quantititve capital making relative exotic relative of industry market trading for industry ,272069,53,costCentre_Y,27,NDBVQX,Strategic,14,QKADRJ,JAPAN EXOTIC SECURITIES TRADING,UK,Hong Kong,3,EMEA Macro Vol,Cat3,2,FxDerivs,1,FX,1,IB
261,AVGJ,Anvil,US,Tokyo,Open,Test,MarketRisk,MonthlySellDown,Valid,NotValid,making trading of internal market trading internal of ,971277,53,costCentre_Y,27,NDBVQX,Strategic,14,QKADRJ,JAPAN EXOTIC SECURITIES TRADING,UK,Hong Kong,3,EMEA Macro Vol,Cat3,2,FxDerivs,1,FX,1,IB
262,LSIU,MX,US,HongKong,Open,Prod,CreditRisk,NA,NotValid,Valid,for value internal quantititve exotic price relative ,395222,53,costCentre_Y,27,NDBVQX,Strategic,14,QKADRJ,JAPAN EXOTIC SECURITIES TRADING,UK,Hong Kong,3,EMEA Macro Vol,Cat3,2,FxDerivs,1,FX,1,IB
